対象年,都道府県,市区町村,警察署等コード,本票番号,事故内容,死者数,負傷者数,発生日時,発生年,発生月,発生日,発生時,発生分,曜日,祝日,昼夜,天候,地形,路面状態,道路形状,信号機,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,当事者A 種別,当事者B 種別,当事者A 用途,当事者B 用途,当事者A 車両形状,当事者B 車両形状,当事者A 年齢,当事者B 年齢,当事者A 人身損傷程度,当事者B 人身損傷程度,当事者A 一時停止規制標識,当事者B 一時停止規制標識,当事者A 速度規制,当事者B 速度規制,当事者A 車両損壊程度,当事者B 車両損壊程度,当事者A エアバッグ,当事者B エアバッグ,緯度,経度
2019,和歌山,和歌山市,059,0001,負傷,0,1,2018/12/22 08:25,2018,12,22,8,25,土,前日,昼－昼,雨,市街地－その他,舗装－湿潤,単路－その他,施設なし,単路－19.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分なし,車両相互,乗用車－普通車,乗用車－普通車,自家用,自家用,乗用車,乗用車,45～54歳,35～44歳,損傷なし,負傷,対象外当事者,対象外当事者,80㎞／ｈ以下,指定の速度規制なし等,小破,小破,その他,その他,34.2406953,135.2151794
2019,和歌山,海南市,059,0002,負傷,0,1,2019/01/13 05:00,2019,1,13,5,0,日,前日,夜－夜,晴,非市街地,舗装－乾燥,単路－トンネル,施設なし,単路－5.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離帯,区分あり－路側帯,車両相互,貨物車－大型車,乗用車－普通車,事業用,自家用,貨物車,乗用車,45～54歳,0～24歳,負傷,損傷なし,対象外当事者,対象外当事者,80㎞／ｈ以下,80㎞／ｈ以下,小破,大破,その他,装備あり 作動,34.1133122,135.2010144
2019,和歌山,橋本市,101,0001,負傷,0,1,2018/12/25 09:43,2018,12,25,9,43,火,その他,昼－昼,晴,非市街地,舗装－乾燥,一般交通の場所,施設なし,一般交通の場所,一般交通の場所,その他,規制なし,一般交通の場所,区分なし,人対車両,乗用車－軽自動車,歩行者,自家用,対象外当事者,乗用車,対象外当事者,75歳以上,45～54歳,損傷なし,負傷,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,損壊なし,対象外当事者,その他,対象外当事者,34.3110589,135.5878083
2019,和歌山,橋本市,101,0002,負傷,0,1,2019/01/04 13:05,2019,1,4,13,5,金,その他,昼－昼,晴,市街地－人口集中,舗装－乾燥,交差点－その他,施設なし,交差点－小（5.5m未満）－小,直線－上り,交差点内,規制なし,中央分離なし,区分なし,車両相互,乗用車－軽自動車,貨物車－軽自動車,自家用,自家用,乗用車,貨物車,35～44歳,35～44歳,負傷,損傷なし,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,小破,小破,その他,その他,34.3162961,135.6047336
2019,和歌山,橋本市,101,0003,負傷,0,3,2019/01/10 15:35,2019,1,10,15,35,木,その他,昼－昼,晴,非市街地,舗装－乾燥,単路－その他,施設なし,単路－5.5m以上,直線－下り,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－縁石・ブロック等,車両相互,乗用車－普通車,貨物車－普通車,自家用,自家用,乗用車,貨物車,45～54歳,25～34歳,負傷,損傷なし,対象外当事者,対象外当事者,指定の速度規制なし等,指定の速度規制なし等,大破,大破,装備あり 作動,装備あり 作動,34.3165936,135.5747822
2019,和歌山,橋本市,101,0004,負傷,0,1,2018/12/05 08:19,2018,12,5,8,19,水,その他,昼－昼,晴,市街地－その他,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－小,直線－平坦,交差点内,規制なし,中央分離なし,区分あり－路側帯,車両相互,乗用車－普通車,軽車両－自転車,事業用,対象外当事者,乗用車,対象外当事者,35～44歳,0～24歳,損傷なし,負傷,規制なし,標準－反射式,指定の速度規制なし等,対象外当事者,小破,大破,その他,対象外当事者,34.3299414,135.6519908
2019,和歌山,橋本市,101,0005,負傷,0,1,2018/12/12 06:00,2018,12,12,6,0,水,その他,夜－明,雨,非市街地,舗装－湿潤,単路－その他,施設なし,単路－3.5m以上,直線－平坦,単路（交差点付近を含む）,規制なし,中央分離なし,区分なし,車両単独,二輪車－自動二輪－原付二種－51～125cc,相手なし,自家用,対象外当事者,対象外当事者,対象外当事者,45～54歳,不明,負傷,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,小破,対象外当事者,対象外当事者,対象外当事者,34.34282,135.5688133
2019,和歌山,橋本市,101,0006,負傷,0,1,2019/01/13 10:52,2019,1,13,10,52,日,前日,昼－昼,晴,非市街地,舗装－湿潤,交差点付近－その他,施設なし,単路－5.5m以上,カーブ・屈折－右－下り,単路（交差点付近を含む）,規制なし,中央線－ペイント,区分あり－防護柵等,車両相互,乗用車－普通車,二輪車－自動二輪－小型二輪－251～400cc,自家用,自家用,乗用車,対象外当事者,0～24歳,35～44歳,負傷,損傷なし,対象外当事者,対象外当事者,40㎞／ｈ以下,40㎞／ｈ以下,小破,小破,その他,対象外当事者,34.3407094,135.6131989
2019,和歌山,橋本市,101,0007,負傷,0,2,2018/12/14 08:10,2018,12,14,8,10,金,その他,昼－昼,晴,非市街地,舗装－乾燥,交差点－その他,施設なし,交差点－中（5.5m以上）－中,直線－上り,交差点内,規制なし,中央分離なし,区分あり－縁石・ブロック等,車両相互,乗用車－軽自動車,乗用車－軽自動車,自家用,事業用,乗用車,乗用車,55～64歳,35～44歳,負傷,負傷,規制なし,規制なし,指定の速度規制なし等,指定の速度規制なし等,中破,中破,装備あり 作動,装備あり 作動,34.3657794,135.6114078
2019,和歌山,高野町,101,0008,死亡,1,0,2019/01/27 16:00,2019,1,27,16,0,日,その他,昼－昼,晴,非市街地,舗装－凍結,単路－カーブ・屈折,施設なし,単路－3.5m以上,カーブ・屈折－左－下り,単路（交差点付近を含む）,規制なし,中央分離なし,区分なし,車両単独,乗用車－軽自動車,相手なし,自家用,対象外当事者,乗用車,対象外当事者,55～64歳,不明,死亡,対象外当事者,対象外当事者,対象外当事者,指定の速度規制なし等,対象外当事者,大破,対象外当事者,その他,対象外当事者,34.2451056,135.7100383
