No,交差点名,市町村,主路線,2021(R3)順位/件数,2022(R4)順位/件数,2023(R5)順位/件数,2024(R6)順位/件数,2025(R7)順位/件数,出現年数,最多件数,推定緯度(参考),推定経度(参考),確度,警察提供 緯度,警察提供 経度,備考
1,財部,御坊市,国道42号,,2位/8件,1位/9件,3位/6件,2位/6件,4,9,33.897904,135.149983,確度高,,,
2,小松原,御坊市,国道42号,3位/6件,,5位/7件,2位/7件,2位/6件,4,7,33.90455,135.150511,確度高,,,
3,小松原南,御坊市,県道御坊美山線,2位/7件,6位/6件,6位/6件,5位/5件,,4,7,33.902158,135.161556,確度高,,,
4,斉川小橋西側,美浜町,町道,3位/6件,3位/7件,,5位/5件,2位/6件,4,7,33.897095,135.144597,確度高,,,
5,松原通り,御坊市,国道42号,,1位/9件,3位/8件,1位/8件,,3,9,33.886809,135.152412,確度高,,,
6,里トンネル南方,由良町,国道42号,3位/6件,,3位/8件,3位/6件,,3,8,33.954899,135.122554,確度高,,,
7,道成寺南方,御坊市,県道日高印南線,9位/5件,,6位/6件,,3位/5件,3,6,33.910379,135.174564,確度高,,,
8,御坊駅前,御坊市,県道御坊停車場線,1位/11件,2位/8件,,,,2,11,33.906958,135.159675,確度高,,,
9,日高高校南西,御坊市,市道,3位/6件,,,,1位/10件,2,10,33.895568,135.157305,確度高,,,
10,日高振興局東,御坊市,県道御坊美山線,,,1位/9件,,3位/5件,2,9,33.898973,135.153921,確度高,,,
11,御坊小学校南東,御坊市,県道井関御坊線,,3位/7件,,,3位/5件,2,7,33.89071,135.156784,確度高,,,
12,財部交差南方,御坊市,国道42号,,,8位/5件,,2位/6件,2,6,33.89707,135.150242,確度高,,,
13,市役所北,御坊市,国道42号,,3位/7件,,,,1,7,33.8924,135.1528,確度高,,,
14,島南,御坊市,県道御坊停車場線,,,6位/6件,,,1,6,33.8912,135.1636,要確認,,,
15,体育館前,御坊市,国道42号,,,,3位/6件,,1,6,33.893768,135.151208,確度高,,,
16,野口新橋西詰,御坊市,県道御坊美山線,3位/6件,,,,,1,6,33.9004,135.173,要確認,,,
17,新橋西方,御坊市,市道,3位/6件,,,,,1,6,33.9005,135.17,要確認,,,
18,島公民館前,御坊市,県道御坊停車場線,,,,5位/5件,,1,5,33.891437,135.162252,確度高,,,
19,天田橋北詰,御坊市,国道42号,,,,,3位/5件,1,5,33.881175,135.157975,確度高,,,
20,紀伊御坊駅北東方,御坊市,県道井関御坊線,9位/5件,,,,,1,5,33.895,135.1555,要確認,,,
